latin	thaana
Kalhuhuraa	ކަޅުހުރާ
Fuvahmulah	ފުވައްމުލައް
Hulhumeedhoo	ހުޅުމީދޫ
Thilafushi	ތިލަފުށި
Bathalaa	ބަތަލާ
Gan	ގަން
Villimalé	ވިލިމާލެ
Felivaru	ފެލިވަރު
Dhoonidhoo	ދޫނިދޫ
Kendhikulhudhoo	ކެނދިކުޅުދޫ
Kandinma	ކަނޑިންމަ
Villingili	ވިލިނގިލީ
Finolhu	ފިނޮޅު
Maduvvaree	މަޑުއްވަރީ
Randheli	ރަންދެލި
Hulhulé	ހުޅުލޭ
Kurolhi	ކުރޮޅި
Rasfari	ރަސްފަރި
Aarah	އާރަށް
Dhiddhoo	އޭދަފުށީގެ
Gaadhoo	ގާދޫ
Hibalhidhoo	ހިބަޅިދޫ
Himmafushi	ހިންމަފުށީ
Hulhudhoo	ހުޅުދޫ
Kudadhoo	ކުޑަދޫ
Madivaru	މަޑިވަރު
Madulu	މަޑުލު
Nolhivaram	ނޮޅިވަރަމް
Viligili	ވިލިނގިލި
Bandos	ބަނޑޮސް
Burunee	ބުރުނީ
Ellaidhoo	ނަމަ
Enboodhoo	އެނބޫދޫ
Fares-Maathodaa	ފަރެސްމާތޮޑާގެ
Farukolhu	ފަރުކޮޅު
Farumuli	ފަރުމުލި
Feydhoofinolhu	ފޭދޫފިނޮޅު
Girifushi	ގިރިފުށި
Hadahaa	ހަޑަހާ
Hanifaru	ހަނިފަރު
Himithi	ހިމިތި
Hirinaidhoo	ހިރިނައިދޫ
Innafushi	ބ
Kaaddoo	ތ
Kadévaaréhaa	ކަޑެވާރެހާ
Kani	ކަނި
Kothaifaru	ހެދި
Lankanfushi	ގިލި
Maabinhuraa	މާބިންހުރާ
Maandhoo	މާންދޫ
Olhuveli	އޮޅުވެލި
Rinbidhoo	ރިނބުދޫ
Uligamu	އުލިގަމު
Vakarufalhi	ވަކަރުފަޅި
