latin	thaana
hdh	ހދ.
s	ސ.
ha	ހއ.
r	ރ.
gdh	ގދ.
sh	ށ.
th	ތ.
lh	ޅ.
n	ނ.
b	ބ.
ga	ގއ.
l	ލ.
k	ކ.
adh	އދ.
m	ޏ.
dh	ދ.
aa	އއ.
f	ފ.
v	ވ.
